DOI,publicationDate,publisher,subject
doi:10.7910/DVN/U3QJQZ,2020,harvard,Medicine; Health and Life Sciences
doi:10.7910/DVN/HRLHA4,2016,pan,Mathematical Sciences;Social Sciences
doi:10.7910/DVN/RJWU7A,2015,intertransferuschina,Social Sciences
doi:10.7910/DVN/FAAMAX,2018,BLS-PNAS,Social Sciences
doi:10.7910/DVN/PAHRCK,2019,internationalinteractions,Social Sciences
doi:10.7910/DVN/XY2TUK,2018,isq,Social Sciences
doi:10.7910/DVN/26905,2016,monogan,Social Sciences
doi:10.7910/DVN/JMAQLD,2019,govdept,Social Sciences
doi:10.7910/DVN/QXCFO2,2016,pan,Social Sciences
doi:10.7910/DVN/IILJ4B,2020,restat,Social Sciences
doi:10.7910/DVN/LADWHL,2019,palcomms,Social Sciences
doi:10.7910/DVN/LFFJRV,2018,JPublicPolicy,Social Sciences
doi:10.7910/DVN/GJTFKQ,2019,researchandpolitics,Social Sciences
doi:10.7910/DVN/G76EDS,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/EAXEET,2019,txtlab,Arts and Humanities
doi:10.7910/DVN/UN54HD,2015,wmoore,Social Sciences
doi:10.7910/DVN/MX5NIV,2019,BJPolS,Social Sciences
doi:10.7910/DVN/9RTI0V,2015,jop,Social Sciences
doi:10.7910/DVN/CZYUJH,2018,PSRM,Social Sciences
doi:10.7910/DVN/88MXJS,2018,PSRM,Social Sciences
doi:10.7910/DVN/A4A3UO,2019,byers,Social Sciences
doi:10.7910/DVN/EHGCOF,2017,GCP,Social Sciences
doi:10.7910/DVN/K2TLDB,2015,alexandercoppock,Social Sciences
doi:10.7910/DVN/R1M1ID,2018,isq,Social Sciences
doi:10.7910/DVN/6KEXM7,2020,harvard,Social Sciences
doi:10.7910/DVN/JSR0OE,2018,the_review,Social Sciences
doi:10.7910/DVN/1WZCEA,2019,pan,Social Sciences
doi:10.7910/DVN/OXIIDD,2019,jlc,Law;Social Sciences
doi:10.7910/DVN/EEUTHP,2019,harvard,Social Sciences
doi:10.7910/DVN/3RA7YG,2016,jop,Social Sciences
doi:10.7910/DVN/FS90RJ,2016,ajps,Social Sciences
doi:10.7910/DVN/Q92PMT,2016,jop,Law;Social Sciences
doi:10.7910/DVN/WBI9RT,2015,harvard,Social Sciences
doi:10.7910/DVN/1IWN5N,2018,jslapin,Social Sciences
doi:10.7910/DVN/CF44OW,2017,jop,Social Sciences
doi:10.7910/DVN/T0W5IM,2019,fixingahole,Social Sciences
doi:10.7910/DVN/8GRBRZ,2019,fbnonuse,Computer and Information Science;Social Sciences
doi:10.7910/DVN/PASJJ8,2016,annerosenisser,Social Sciences
doi:10.7910/DVN/VVX0K7,2020,dalstonward,Social Sciences
doi:10.7910/DVN/N0PBQ9,2015,harvard,Social Sciences
doi:10.7910/DVN/HSCUNB,2018,harvard,Social Sciences
doi:10.7910/DVN/A47LUM,2018,pan,Social Sciences
doi:10.7910/DVN/567RS6,2016,pan,Social Sciences
doi:10.7910/DVN/CEVZPL,2017,costarica,Earth and Environmental Sciences;Medicine; Health and Life Sciences
doi:10.7910/DVN/YQ2HFG,2019,govdept,Social Sciences
doi:10.7910/DVN/GBZZXL,2019,jop,Social Sciences
doi:10.7910/DVN/OYORNJ,2018,internationalinteractions,Social Sciences
doi:10.7910/DVN/SR0NMB,2016,jop,Law;Social Sciences
doi:10.7910/DVN/CMCZBR,2020,jop,Law;Social Sciences
doi:10.7910/DVN/LJN4BO,2019,harvard,Social Sciences
doi:10.7910/DVN/HUZ1CD,2019,ilundberg,Social Sciences
doi:10.7910/DVN/KNXKIY,2019,harvard,Social Sciences
doi:10.7910/DVN/IVPBRF,2016,PSRM,Social Sciences
doi:10.7910/DVN/WAQNXD,2017,BJPolS,Social Sciences
doi:10.7910/DVN/KZRWPM,2016,gov2001,Computer and Information Science;Mathematical Sciences;Other;Physics
doi:10.7910/DVN/K2QBK6,2018,researchandpolitics,Social Sciences
doi:10.7910/DVN/DCKXHT,2016,mkscroggs,Social Sciences
doi:10.7910/DVN/3PBN6J,2018,harvard,Business and Management;Social Sciences
doi:10.7910/DVN/OFK4L6,2018,jop,Social Sciences
doi:10.7910/DVN/MQAWKE,2020,perspectives,Social Sciences
doi:10.7910/DVN/FSNEZY,2019,IOJ,Social Sciences
doi:10.7910/DVN/OEM7DW,2019,BJPolS,Social Sciences
doi:10.7910/DVN/9HKISQ,2019,BJPolS,Law;Social Sciences
doi:10.7910/DVN/QJSRZF,2016,harvard,Social Sciences
doi:10.7910/DVN/ABT3OE,2018,restat,Social Sciences
doi:10.7910/DVN/Q0XAPV,2015,jop,Social Sciences
doi:10.7910/DVN/SWV9GJ,2017,xps,Social Sciences
doi:10.7910/DVN/JRDCUN,2020,harvard,Social Sciences
doi:10.7910/DVN/YHJUCJ,2019,gender_promotion,Medicine; Health and Life Sciences;Social Sciences
doi:10.7910/DVN/CORRXG,2018,polbehavior,Social Sciences
