,doi,success,publicationDate,publisher,subject,type,name
0,doi:10.7910/DVN/03CDTK,,2018,the_review,Social Sciences,JOURNALS,American Political Science Review Dataverse
1,doi:10.7910/DVN/05BSPP,0.0,2018,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
2,doi:10.7910/DVN/0BFF0K,1.0,2019,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
3,doi:10.7910/DVN/0BPVCH,,2020,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
4,doi:10.7910/DVN/0DE35E,1.0,2018,xps,Social Sciences,JOURNALS,Journal of Experimental Political Science
5,doi:10.7910/DVN/0DLNBL,1.0,2018,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
6,doi:10.7910/DVN/0DOFEF,0.0,2016,tvinner,Social Sciences,UNCATEGORIZED,Endre Tvinnereim Dataverse
7,doi:10.7910/DVN/0E9KON,1.0,2016,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
8,doi:10.7910/DVN/0EIQXL,1.0,2020,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
9,doi:10.7910/DVN/0EVV7C,0.0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
10,doi:10.7910/DVN/0FXKKX,0.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
11,doi:10.7910/DVN/0HDTYM,1.0,2017,xps,Social Sciences,JOURNALS,Journal of Experimental Political Science
12,doi:10.7910/DVN/0K6LWF,0.0,2019,lsq,Social Sciences,JOURNALS,Legislative Studies Quarterly
13,doi:10.7910/DVN/0KL6JK,1.0,2019,PSRM,Social Sciences,JOURNALS,Political Science Research and Methods (PSRM) Dataverse
14,doi:10.7910/DVN/0MXT0H,,2020,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
15,doi:10.7910/DVN/0O1GW1,,2019,Bioversity,Agricultural Sciences;Earth and Environmental Sciences,ORGANIZATIONS_INSTITUTIONS,Bioversity International Dataverse
16,doi:10.7910/DVN/0PTKDP,1.0,2016,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
17,doi:10.7910/DVN/0QOVCH,,2020,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
18,doi:10.7910/DVN/0UDCQC,0.0,2016,heireport_casestudy2,Earth and Environmental Sciences;Mathematical Sciences;Medicine; Health and Life Sciences,RESEARCH_PROJECTS,Case Study 2: Power Plant Scrubbers Dataverse
19,doi:10.7910/DVN/0VIYXT,,2019,jlc,Law;Social Sciences,JOURNALS,Journal of Law and Courts Dataverse
20,doi:10.7910/DVN/0W3VCA,0.0,2019,replication_studies,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Replication Studies Dataverse
21,doi:10.7910/DVN/0WKEHJ,0.0,2020,bluecarbondriversmodel,Earth and Environmental Sciences,RESEARCH_PROJECTS,Drivers and modelling of blue carbon stock variability in sediments of southeastern Australia
22,doi:10.7910/DVN/0XDYNK,1.0,2019,govdept,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard University Department of Government Dissertations Dataverse
23,doi:10.7910/DVN/0XEUCP,1.0,2017,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
24,doi:10.7910/DVN/0XYQR3,0.0,2019,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
25,doi:10.7910/DVN/11ZIRS,0.0,2017,securityforceethnicity,Social Sciences,RESEARCH_PROJECTS,Security Force Ethnicity Project Dataverse
26,doi:10.7910/DVN/14RSGX,,2016,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
27,doi:10.7910/DVN/15YF0R,1.0,2018,mbuntaine,Social Sciences,RESEARCHERS,Mark Buntaine Dataverse
28,doi:10.7910/DVN/19FSQZ,0.0,2019,jop,Social Sciences,JOURNALS,The Journal of Politics Dataverse
29,doi:10.7910/DVN/1ANAKP,0.0,2020,monogan,Earth and Environmental Sciences;Social Sciences,RESEARCHERS,Monogan Dataverse
30,doi:10.7910/DVN/1AZYRE,,2018,Big5Ambition,Social Sciences,RESEARCH_PROJECTS,Replication Data for The Personality of the Politically Ambitious
31,doi:10.7910/DVN/1B1MXY,,2019,BJPolS,Social Sciences,JOURNALS,British Journal of Political Science Dataverse
32,doi:10.7910/DVN/1CCXS9,,2017,JPublicPolicy,Social Sciences,JOURNALS,Journal of Public Policy Dataverse
33,doi:10.7910/DVN/1DMAAJ,,2016,registration,Social Sciences,UNCATEGORIZED,Political Science Registered Studies Dataverse
34,doi:10.7910/DVN/1ELYGA,0.0,2017,harvard,Social Sciences,ORGANIZATIONS_INSTITUTIONS,Harvard Dataverse
35,doi:10.7910/DVN/1GDKSV,,2016,arwhite,Social Sciences,RESEARCHERS,Ariel White Dataverse
