,doi,file,r32,r36,r40,result,success
0,doi:10.7910/DVN/XFQZI2,Condemnation.R,"Error in eval(expr, envir, enclos) : could not find function 'read.dta13'",Error in read.dta13('Condemnation.dta') :   could not find function 'read.dta13',,,
1,doi:10.7910/DVN/WGPDBS,Replication_of_Figures.R,success,success,success,success,1.0
2,doi:10.7910/DVN/BPON3K,fig_10_effect_of_winning_on_gov.R,"Error in diag(vcovHC(DMareg, type = 'HC3')) :   could not find function 'vcovHC'","Error in vcovHC(DMareg, type = 'HC3') : could not find function 'vcovHC'","Error in vcovHC(DMareg, type = 'HC3') : could not find function 'vcovHC'","Error in vcovHC(DMareg, type = 'HC3') : could not find function 'vcovHC'",0.0
3,doi:10.7910/DVN/BPON3K,fig_11_rd_placebo.R,"Error in ggsave('placebo.pdf', plot = placebo, device = 'pdf', width = 10,  :   plot should be a ggplot2 plot",success,success,success,1.0
4,doi:10.7910/DVN/BPON3K,fig_12_historical_trend.R,"Error in ggsave('historical_trend.pdf', plot = historical_trend, device = 'pdf',  :   could not find function 'device'",success,success,success,1.0
5,doi:10.7910/DVN/BPON3K,fig_13_plot_loyalty_df_pct.R,Error in data.table(x) : object 'x' not found,Error in data.table(x) : object 'x' not found,Error in data.table(x) : object 'x' not found,Error in data.table(x) : object 'x' not found,0.0
6,doi:10.7910/DVN/BPON3K,fig_14_effect_on_individual_parties.R,"Error in eval(expr, envir, enclos) :   could not find function 'theme_tufte'",success,success,success,1.0
7,doi:10.7910/DVN/BPON3K,fig_2_fig_4_party_switching.R,"Error in ggsave('rd_change.pdf', plot = rd_change, device = 'pdf', width = 10,  :   plot should be a ggplot2 plot",success,success,success,1.0
8,doi:10.7910/DVN/ZWAGXZ,balance test REPLICATION.r,"Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection","Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection",0.0
9,doi:10.7910/DVN/ZWAGXZ,experiment 1 analysis REPLICATION.R,"Error in file(file, 'rt') : cannot open the connection",Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install',Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install',Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install',0.0
10,doi:10.7910/DVN/ZWAGXZ,experiment 2 analysis REPLICATION.R,"Error in file(file, 'rt') : cannot open the connection",Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install',Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install',Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install',0.0
