doi:10.7910/DVN/XFQZI2	Condemnation.R	Error in read.dta13('Condemnation.dta') :   could not find function 'read.dta13'
doi:10.7910/DVN/WGPDBS	Replication_of_Figures.R	success
doi:10.7910/DVN/BPON3K	fig_10_effect_of_winning_on_gov.R	Error in vcovHC(DMareg, type = 'HC3') : could not find function 'vcovHC'
doi:10.7910/DVN/BPON3K	fig_11_rd_placebo.R	success
doi:10.7910/DVN/BPON3K	fig_12_historical_trend.R	success
doi:10.7910/DVN/BPON3K	fig_13_plot_loyalty_df_pct.R	Error in data.table(x) : object 'x' not found
doi:10.7910/DVN/BPON3K	fig_14_effect_on_individual_parties.R	success
doi:10.7910/DVN/BPON3K	fig_2_fig_4_party_switching.R	success
doi:10.7910/DVN/BPON3K	fig_3_effect_of_winning_on_federal_congress.R	success
doi:10.7910/DVN/BPON3K	fig_5_tab_7_rd_robust_estimations.R	Error in rdrobust(y = tres$change, x = tres$margin, all = T) :   could not find function 'rdrobust'
doi:10.7910/DVN/BPON3K	fig_6_nominations.R	success
doi:10.7910/DVN/BPON3K	fig_7_party_switching_by_party_VEREADORES.R	success
doi:10.7910/DVN/BPON3K	fig_8_losing_council.R	success
doi:10.7910/DVN/BPON3K	fig_9_effect_of_winning_on_state_congress.R	success
doi:10.7910/DVN/BPON3K	tab_10_LATE_re_nominations.R	success
doi:10.7910/DVN/BPON3K	tab_11_LATE_nominations_diff_party.R	success
doi:10.7910/DVN/BPON3K	tab_12_LATE_de.R	success
doi:10.7910/DVN/BPON3K	tab_13_LATE_gov.R	success
doi:10.7910/DVN/BPON3K	tab_14_LATE_placebo.R	success
doi:10.7910/DVN/BPON3K	tab_15_incumbency_party_switching.R	Error in texreg(list(lm_2000, lm_2004, lm_2008), dcolumn = TRUE, booktabs = TRUE,  :   could not find function 'texreg'
doi:10.7910/DVN/BPON3K	tab_1_summary_stats.R	Error in tableContinuous(vars = vars, stats = c('mean', 's', 'median',  :   could not find function 'tableContinuous'
doi:10.7910/DVN/BPON3K	tab_2_balance_test_before_court_decision.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/BPON3K	tab_3_balance_test_after_court_decision.R	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/BPON3K	tab_4_LATE_change.R	success
doi:10.7910/DVN/BPON3K	tab_5_LATE_change_attrition.R	success
doi:10.7910/DVN/BPON3K	tab_6_LATE_df.R	success
doi:10.7910/DVN/BPON3K	tab_8_campaign_donations.R	Error : non-numeric argument to mathematical function
doi:10.7910/DVN/BPON3K	tab_9_LATE_nominations_overall.R	success
doi:10.7910/DVN/ZWAGXZ	Study 2 Plots REPLICATION.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/ZWAGXZ	Study 3 Plots REPLICATION.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/ZWAGXZ	balance test REPLICATION.r	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/ZWAGXZ	experiment 1 analysis REPLICATION.R	Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install'
doi:10.7910/DVN/ZWAGXZ	experiment 2 analysis REPLICATION.R	Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install'
doi:10.7910/DVN/ZWAGXZ	experiment 3 analysis REPLICATION.R	Error in api.key.install('f66712573be9fdfd1264a2d99bc0356a4b3edaf7') :   could not find function 'api.key.install'
doi:10.7910/DVN/JXXNDO	Bus_Reg_conv.R	Error: unexpected symbol in \        and wide\""
doi:10.7910/DVN/JXXNDO	WGI_conv.R	Error in win.metafile(filename = 'WGI_sigma_conv.wmf', width = 6.3, height = 9,  :   could not find function 'win.metafile'
doi:10.7910/DVN/NVRBC9	Lueders_et al_2017_driverslicenses_replicationcode_final.R	Error in read.dta('Lueders_et al_2017_driverslicenses_replication.dta') :   not a Stata version 5-12 .dta file
doi:10.7910/DVN/NVRBC9	vcovCluster.R	success
doi:10.7910/DVN/FXKA3J	Tweet.R	Error in setup_twitter_oauth(api_key, api_secret, access_token, access_token_secret) :    could not find function \setup_twitter_oauth\""
doi:10.7910/DVN/WCTILJ	Script.R	Error : `path` does not exist: 'diretrio'
doi:10.7910/DVN/O3ETO9	jose-galdino-script-tf-ad-ufpe-2018.R	Error : '~/Acadmico/UFPE/Doutorado/Semestres/2018.2/Analse de Dados - Davi Moreira/Bibliografia/Smooth-Sailing/NMC_5_0.csv' does not exist.
doi:10.7910/DVN/LRSICH	Chapter7Master.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/LRSICH	TableA26.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/LRSICH	TableA27.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/LRSICH	TableA28.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/LRSICH	TableA29Figure7_4.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/LRSICH	TableA30.r	Error in estfun(fm) : could not find function 'estfun'
doi:10.7910/DVN/TKTN5J	0_Run It All.R	Error in terms(object, data = data) :   argument 'object' is missing, with no default
doi:10.7910/DVN/TKTN5J	1_Prep the data.R	success
doi:10.7910/DVN/TKTN5J	2_Run eBal.R	Error in terms(object, data = data) :   argument 'object' is missing, with no default
doi:10.7910/DVN/TKTN5J	3_NonExp Regressions.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKTN5J	4_Exp Regressions.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKTN5J	5_Make coefficient graph.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKTN5J	6_Make effects graphs.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKTN5J	7_LR dependence.R	Error in readChar(con, 5L, useBytes = TRUE) : cannot open the connection
doi:10.7910/DVN/TKTN5J	AP - Multigrid.R	success
doi:10.7910/DVN/TKTN5J	x_Auxiliary Functions.R	success
doi:10.7910/DVN/KKS1R0	ADW_positions_master.r	Error in makeRestartList(...) : reached elapsed time limit
doi:10.7910/DVN/KKS1R0	as_mcmc.R	Error in as.mcmc.list(lapply(arg.nb.b.80, as.mcmc)) :   could not find function 'as.mcmc.list'
doi:10.7910/DVN/KKS1R0	data_bayes_out.R	Error in as.matrix(mcmcdat) : object 'arg.nb.b.80.mcmc' not found
doi:10.7910/DVN/KKS1R0	data_management_textfiles.R	Error in file(file, 'rt') : cannot open the connection
doi:10.7910/DVN/KKS1R0	ep_idealpoints_and_errors_bayes80.R	Error in ep.wf.negbin.b(tdmat_arg80) :   could not find function 'ep.wf.negbin.b'
doi:10.7910/DVN/KKS1R0	ep_jags_functions.R	success
doi:10.7910/DVN/KKS1R0	plots_positions_bayes.R	Error in data.frame(dat.pres.pos.all80$year, dat.pres.pos.all80$coun,  :   object 'dat.pres.pos.all80' not found
doi:10.7910/DVN/KKS1R0	posteriorchecks.R	Error in denplot(dat, parms = c('theta[1]')) :   could not find function 'denplot'
doi:10.7910/DVN/KKS1R0	prepare_data_set.R	Error in dat.a.wf.out(names.arg) : object 'names.arg' not found
doi:10.7910/DVN/KKS1R0	preparing_speeches_file.R	Error in wfm.maker('data/input/speeches/arg', 'data/intermediates/wfm_matrices/wfm_arg.csv') :   could not find function 'wfm.maker'
doi:10.7910/DVN/KKS1R0	preparing_speeches_function.R	Error in stopwords(kind = 'spanish') :   could not find function 'stopwords'
doi:10.7910/DVN/KKS1R0	save_data_bayes.R	Error in save(dat.pres.pos.arg80, file = 'data/output/positions/pres_pos_arg80.RData') :   object 'dat.pres.pos.arg80' not found
doi:10.7910/DVN/KKS1R0	wfm_filter.R	Error in wfm.filter(tdmat_arg, 0.6) : object 'tdmat_arg' not found
doi:10.7910/DVN/MDAHHQ	calculate_total_covid19_deaths_usa.R	success
