,doi,file,r32,r36,r40,result,success,publicationDate,publisher,subject,type,name
0,doi:10.7910/DVN/BPON3K,fig_10_effect_of_winning_on_gov.R,"Error in diag(vcovHC(DMareg, type = 'HC3')) :   could not find function 'vcovHC'","Error in vcovHC(DMareg, type = 'HC3') : could not find function 'vcovHC'","Error in vcovHC(DMareg, type = 'HC3') : could not find function 'vcovHC'","Error in vcovHC(DMareg, type = 'HC3') : could not find function 'vcovHC'",0,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
1,doi:10.7910/DVN/BPON3K,fig_11_rd_placebo.R,"Error in ggsave('placebo.pdf', plot = placebo, device = 'pdf', width = 10,  :   plot should be a ggplot2 plot",success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
2,doi:10.7910/DVN/BPON3K,fig_12_historical_trend.R,"Error in ggsave('historical_trend.pdf', plot = historical_trend, device = 'pdf',  :   could not find function 'device'",success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
3,doi:10.7910/DVN/BPON3K,fig_13_plot_loyalty_df_pct.R,Error in data.table(x) : object 'x' not found,Error in data.table(x) : object 'x' not found,Error in data.table(x) : object 'x' not found,Error in data.table(x) : object 'x' not found,0,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
4,doi:10.7910/DVN/BPON3K,fig_14_effect_on_individual_parties.R,"Error in eval(expr, envir, enclos) :   could not find function 'theme_tufte'",success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
5,doi:10.7910/DVN/BPON3K,fig_2_fig_4_party_switching.R,"Error in ggsave('rd_change.pdf', plot = rd_change, device = 'pdf', width = 10,  :   plot should be a ggplot2 plot",success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
6,doi:10.7910/DVN/BPON3K,fig_3_effect_of_winning_on_federal_congress.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
8,doi:10.7910/DVN/BPON3K,fig_6_nominations.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
9,doi:10.7910/DVN/BPON3K,fig_7_party_switching_by_party_VEREADORES.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
10,doi:10.7910/DVN/BPON3K,fig_8_losing_council.R,,success,success,success,1,2017,ajps,Social Sciences,JOURNALS,American Journal of Political Science (AJPS) Dataverse
